university,prof_title,first_lesson,second_lesson,total_grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
Kazakh National Conservatory named after Kurmangazy,Musicology,Creative exam,Creative exam,0,0,0,0,0,0
Kazakh National University of Arts,Musicology,Creative exam,Creative exam,0,0,0,0,0,0
Al-Farabi Kazakh National University,Nuclear physics,Maths,Physics,210,158,52,0,0,0
East Kazakhstan State University named after S. Amanzholov,Nuclear physics,Maths,Physics,210,158,52,0,0,0
West Kazakhstan State Medical University named after M. Ospanov,Nursing,Biology,Chemistry,13,23,7,0,0,0
Kazakh-Russian Medical University,Nursing,Biology,Chemistry,13,23,7,0,0,0
Caspian Public University,Nursing,Biology,Chemistry,13,23,7,0,0,0
Caspian State University of Technology and Engineering named after S. Yesenov,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Mangistau University of Humanities and Technology,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Aktobe State Regional University named after K.Zhubanov,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Aktobe University S. Baisheva,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Kazakh National Research Technical University named after K.I.Satpayev,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Kazakh-British Technical University,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Caspian Public University,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Central Asian University,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Astana University,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Atyrau State University named after H. Dosmukhamedov,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Atyrau University of Oil and Gas,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Karaganda State Technical University,Oil and gas business,Maths,Physics,400,263,87,0,38,12
"Humanitarian and Technical Institute ""Akmeshit""",Oil and gas business,Maths,Physics,400,263,87,0,38,12
Kyzylorda State University named after Korkyt Ata,Oil and gas business,Maths,Physics,400,263,87,0,38,12
University Bolashak,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Pavlodar State University named after S. Toraigyrov,Oil and gas business,Maths,Physics,400,263,87,0,38,12
Taraz State University named after M. Dulati,Oil and gas business,Maths,Physics,400,263,87,0,38,12
West Kazakhstan Agrarian and Technical University named after Zhangir Khan,Oil and gas business,Maths,Physics,400,263,87,0,38,12
