id,university,prof_title,first_lesson,second_lesson,total grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
,Восточно-Казахстанский государственный университет имени С. Аманжолова,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Евразийский национальный университет имени Л. Н. Гумилёва,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Жетысуский государственный университет имени И. Жансугурова,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Западно-Казахстанский государственный университет имени М. Утемисова,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Казахская академия спорта и туризма,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Университет «Нархоз»,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Международная образовательная корпорация,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Казахский университет международных отношений и мировых языков имени Абылай хана,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Казахский государственный женский педагогический университет,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Казахский национальный университет имени аль-Фараби,Туризм,География,Иностранный язык,539,292,97,0,113,37
,Карагандинский государственный университет имени Е. А. Букетова,Туризм,География,Иностранный язык,539,292,97,0,113,37
